lookback_slow,gamma,conf_threshold,sharpe,avg_leverage
168,0.0001,1.0,0.857,8.6
168,0.0005,2.0,0.791,4.8
168,0.001,2.0,0.739,4.8
120,0.0001,1.0,0.738,8.6
120,0.0001,3.0,0.693,3.5
168,0.0001,2.0,0.614,4.8
120,0.001,2.0,0.544,4.8
120,0.0001,2.0,0.502,4.8
168,0.0001,3.0,0.46,3.5
120,0.001,3.0,0.451,3.5
168,0.001,1.0,0.432,8.6
168,0.0005,3.0,0.393,3.5
120,0.001,1.0,0.182,8.6
336,0.0001,2.0,0.155,4.8
168,0.001,3.0,0.15,3.5
120,0.0005,3.0,0.132,3.5
120,0.0005,1.0,-0.096,8.6
120,0.0005,2.0,-0.252,4.8
336,0.001,2.0,-0.319,4.8
336,0.0005,1.0,-0.354,8.6
336,0.001,3.0,-0.39,3.5
168,0.0005,1.0,-0.396,8.6
336,0.0005,3.0,-0.478,3.5
336,0.001,1.0,-0.516,8.6
336,0.0001,3.0,-0.539,3.5
336,0.0005,2.0,-0.643,4.8
336,0.0001,1.0,-0.696,8.6
