fast_ma,slow_ma,conf_threshold,sharpe,avg_leverage
12,96,3.0,2.435,8.5
12,96,18.0,2.432,2.8
12,96,12.0,2.382,3.7
12,96,8.0,2.36,5.0
12,96,5.0,2.34,6.7
24,96,3.0,2.275,8.0
12,168,3.0,2.242,9.3
24,96,18.0,2.217,2.6
12,168,5.0,2.199,8.0
24,96,12.0,2.197,3.3
24,96,8.0,2.193,4.5
24,96,5.0,2.191,6.1
48,96,5.0,2.142,4.7
48,96,3.0,2.14,6.6
48,96,18.0,2.128,2.0
48,96,12.0,2.117,2.5
48,96,8.0,2.105,3.3
12,168,8.0,2.08,6.4
12,168,12.0,2.064,4.9
12,168,18.0,2.037,3.7
24,168,3.0,1.898,9.1
24,168,5.0,1.883,7.8
24,168,12.0,1.875,4.6
12,336,18.0,1.864,4.9
24,168,18.0,1.834,3.4
12,336,12.0,1.825,6.4
24,168,8.0,1.81,6.1
12,336,8.0,1.802,7.7
12,336,5.0,1.704,8.9
24,336,18.0,1.651,4.8
48,168,18.0,1.643,3.0
48,168,12.0,1.632,4.0
48,168,8.0,1.597,5.4
12,336,3.0,1.592,9.7
48,168,3.0,1.587,8.8
24,336,12.0,1.575,6.3
48,168,5.0,1.523,7.2
24,336,8.0,1.504,7.6
24,336,5.0,1.49,8.8
48,336,18.0,1.446,4.5
48,336,12.0,1.341,6.0
24,336,3.0,1.303,9.6
48,336,8.0,1.146,7.4
48,336,5.0,1.079,8.7
48,336,3.0,1.049,9.6
